,Strategy_1,Strategy_2,Strategy_3,Strategy_4,Strategy_5
Total Return,0.45870873831432,-0.5916353222606037,0.4534788472300313,0.0059670376124774105,-0.09262988145250528
Annualized Return,0.21389048510983297,-0.4220084997163594,0.22342446877808483,0.0354456717536396,-0.008379869613338359
Annualized Volatility,0.2203191242990529,0.23444857850226983,0.266929356239348,0.25641404499097226,0.2867483521809709
Sharpe Ratio,0.8800431920023781,-1.885309790557886,0.7620905795672424,0.06023719251348118,-0.0989712885402124
Max Drawdown,-0.16362723290878578,-0.6036445595207249,-0.2573549630228549,-0.33538153946357996,-0.3731963554375186
Average Turnover,0.4471057884231536,0.729740518962076,0.437125748502994,0.7514970059880239,0.029274783765801726
Win Rate,0.48502994011976047,0.499001996007984,0.5289421157684631,0.4930139720558882,0.4930139720558882
Profit Factor,1.1996348941994583,0.7091878045122456,1.1759772500855843,1.028592106015559,0.9937943147181697
